lng,lat
-122.280247486,37.7880386718
-122.280265703,37.7880230505
-122.28028345,37.7880060694
-122.280300898,37.7879884308
-122.280315414,37.787969271
-122.280328734,37.7879501637
-122.280338621,37.7879303076
-122.280344205,37.7879104623
-122.280345746,37.7878903643
-122.280343621,37.7878710004
-122.280338488,37.7878524812
-122.28033154,37.7878339245
-122.280324871,37.7878153062
-122.280318578,37.7877948123
-122.280314475,37.787774411
-122.280312563,37.7877535094
-122.280314809,37.7877332837
-122.280319774,37.7877136159
-122.280328417,37.7876954219
-122.280340395,37.7876789851
-122.28035546,37.7876653406
-122.280376997,37.787653198
-122.280400389,37.7876460131
-122.280423686,37.7876439948
-122.280448599,37.7876476353
-122.280471825,37.7876575552
-122.280489167,37.7876702713
-122.280502328,37.7876868999
-122.280510021,37.7877066453
-122.28050998,37.7877248779
-122.280505404,37.7877434755
-122.280496118,37.7877614909
-122.280482955,37.7877784424
-122.280466722,37.7877938447
-122.280447458,37.7878068613
-122.280426038,37.7878173307
-122.28040341,37.7878248823
-122.280380191,37.7878296183
-122.280356991,37.7878313275
-122.280329725,37.7878300012
-122.280303763,37.7878257096
-122.280278619,37.7878212198
-122.280253032,37.7878180381
-122.280226178,37.7878185855
-122.280203507,37.7878215578
-122.280180149,37.7878283521
-122.280158469,37.7878379282
-122.280137532,37.7878501637
-122.280117988,37.7878651445
-122.280100427,37.7878820642
-122.28008517,37.7879003851
-122.28007145,37.7879195397
-122.280060251,37.7879390925
-122.280050578,37.7879588251
-122.280044004,37.7879782645
-122.280040259,37.7879971461
-122.280039832,37.788018377
-122.280044145,37.7880381367
-122.280052333,37.7880560525
-122.280064371,37.7880713423
-122.280082336,37.7880831485
-122.280104256,37.7880898265
-122.280128296,37.7880909061
-122.280153218,37.7880864964
-122.280177347,37.7880774768
-122.28019554,37.788066371
-122.280212025,37.7880529196
-122.280225251,37.788037888
-122.280235584,37.7880217076
-122.280243365,37.7880018549
-122.280246094,37.7879837092
-122.280242726,37.7879659832
-122.28023219,37.7879494294
-122.280219043,37.7879339405
-122.280206042,37.7879179321
-122.280195185,37.787901878
-122.280186149,37.7878829399
-122.280181798,37.7878651103
-122.280180833,37.7878458989
-122.280182628,37.7878263261
-122.28018894,37.7878061248
-122.280198811,37.7877872411
-122.280211858,37.7877690712
-122.28022668,37.7877523323
-122.280243047,37.7877364196
-122.280260134,37.7877213505
-122.280278211,37.7877074894
-122.280296919,37.7876948818
-122.28031635,37.7876830811
-122.280337548,37.787672601
-122.280359825,37.7876642385
-122.28038346,37.7876583198
-122.280406221,37.7876554367
-122.280433091,37.7876565796
-122.280456929,37.7876626963
-122.280477527,37.7876733233
-122.280492653,37.7876877029
-122.28050036,37.7877049477
-122.280499381,37.7877258014
-122.280490427,37.7877452335
-122.280478556,37.787763761
-122.280467603,37.7877801505
-122.280454069,37.7877965715
-122.280436795,37.7878119805
-122.280415684,37.7878247262
-122.280391375,37.7878328473
-122.280365686,37.787836035
-122.280341067,37.7878347049
-122.280316005,37.7878315179
-122.280290537,37.7878277766
-122.280267888,37.7878252175
